1 1   -149.872 488.132 1.02124
2 1   -373.778 12.766 0.747992
3 1   432.157 431.736 1.22173
4 1   2.98898 -376.864 0.753751
5 1   38.7309 -247.964 0.501941
6 1   67.7639 217.077 0.454816
7 1   -1910.64 777.131 4.12528
8 1   720.331 -1016.89 2.49234
9 1   -55.0031 -135.672 0.292795
10 1   113.587 289.31 0.621619
11 1   86.7088 162.871 0.369028
12 1   -120.205 -247.357 0.550036
13 1   197.821 110.039 0.452733
14 1   -178.445 -33.3419 0.363065
15 1   -155.619 -98.9293 0.368805
16 1   276.247 153.955 0.632501
17 1   203.735 50.5208 0.419811
18 1   364.397 107.844 0.760041
19 1   -678.267 443.032 1.62028
20 1   -179.206 -37.4586 0.366159
21 1   -350.625 63.8541 0.712784
22 1   440.43 -83.2732 0.896466
23 1   193.81 -44.7951 0.397839
24 1   298.959 234.924 0.760436
25 1   28.06 -48.0374 0.111265
26 1   164.347 -52.6954 0.345177
27 1   -376.472 253.221 0.907418
28 1   -175.177 -157.874 0.471642
29 1   655.82 -22.5703 1.31242
30 1   27.2598 -19.6516 0.0672095
31 1   -70.8173 614.913 1.23795
32 1   131.662 119.336 0.355393
33 1   -174.462 207.334 0.541938
34 1   -251.614 -299.897 0.782939
35 1   84.8354 285.272 0.595238
36 1   -119.39 -146.751 0.378364
37 1   209.682 8.38452 0.4197
38 1   386.615 556.006 1.35442
39 1   -112.311 -76.2063 0.271449
40 1   83.5201 234.091 0.497089
41 1   -109.398 -138.741 0.353366
42 1   21.4424 10.4024 0.0476648
43 1   -58.3318 -304.975 0.621006
44 1   -891.15 301.357 1.88145
45 1   -156.946 335.204 0.740254
46 1   55.0041 -196.367 0.40785
47 1   7.51164 -22.017 0.0465263
48 1   -20.6247 105.212 0.214428
49 1   129.885 -138.704 0.380046
50 1   -253.313 -187.405 0.6302
1 2   10.6963 -202.771 0.406105
2 2   -290.207 537.157 1.22108
3 2   54.7093 -372.613 0.753215
4 2   113.174 -683.908 1.38642
5 2   -52.1949 205.495 0.424039
6 2   -133.853 45.2602 0.282597
7 2   -104.655 -102.649 0.293186
8 2   -301.094 -14.463 0.602882
9 2   -160.292 -283.825 0.651921
10 2   84.7737 -62.4291 0.210561
11 2   88.067 386.265 0.792355
12 2   282.859 -357.569 0.911844
13 2   9.40904 -318.281 0.636841
14 2   -102.546 194.295 0.439392
15 2   -443.176 -357.93 1.13933
16 2   -40.091 -73.3771 0.16723
17 2   221.144 239.721 0.652291
18 2   -81.2906 -6.57208 0.163112
19 2   -64.633 107.454 0.250789
20 2   -446.3 209.849 0.986347
21 2   410.229 -222.343 0.933219
22 2   265.409 204.334 0.669908
23 2   192.554 -63.6925 0.405628
24 2   -24.7619 430.614 0.86265
25 2   82.8461 52.2813 0.195927
26 2   109.84 300.919 0.640678
27 2   223.706 -105.208 0.494422
28 2   -230.576 27.3697 0.46439
29 2   -1151.04 -3356.04 7.09588
30 2   -312.742 20.4292 0.626817
31 2   92.8199 -83.9789 0.250344
32 2   204.107 -106.326 0.460282
33 2   515.745 192.489 1.10099
34 2   124.399 -211.658 0.491015
35 2   -301.644 -166.761 0.689343
36 2   -295.999 -326.616 0.881575
37 2   -190.622 -123.148 0.453881
38 2   -104.866 197.312 0.446896
39 2   -109.512 144.283 0.362274
40 2   307.427 11.094 0.615254
41 2   -77.5972 114.583 0.276772
42 2   501.062 189.043 1.07107
43 2   -129.615 -143.995 0.387477
44 2   -81.6726 -18.1011 0.167309
45 2   246.707 117.652 0.546648
46 2   52.4888 -20.4827 0.112688
47 2   -168.304 133.469 0.429605
48 2   177.178 459.806 0.985523
49 2   194.536 52.4909 0.402987
50 2   289.125 -862.669 1.81966
1 3   -282.159 -92.6489 0.593961
2 3   5714.54 -9060.6 21.4243
3 3   48.2084 137.839 0.292053
4 3   -39.4651 -185.781 0.379853
5 3   -87185.1 85636.4 244.416
6 3   357.162 168.302 0.789658
7 3   -241.691 50.739 0.493918
8 3   -45.1105 -12.0533 0.093386
9 3   -39.011 102.144 0.21868
10 3   -162.037 -55.1173 0.342308
11 3   133.055 -426.037 0.892662
12 3   422.228 602.577 1.47157
13 3   -37.5841 491.876 0.986619
14 3   20.4496 183.911 0.37009
15 3   -3.99462 -43.6106 0.0875864
16 3   160.953 -296.71 0.675109
17 3   -636.451 -360.229 1.46265
18 3   -599.433 -235.812 1.2883
19 3   55.3887 400.496 0.808616
20 3   -10661.9 1254.74 21.4709
21 3   13.229 224.038 0.448857
22 3   18.2119 -302.933 0.60696
23 3   7.92404 54.1955 0.109543
24 3   -315.768 52.3968 0.640171
25 3   102.027 -302.057 0.637646
26 3   -29.5444 -22.3302 0.0740678
27 3   384.734 -58.8628 0.778422
28 3   100.316 -7.89114 0.201253
29 3   -250.991 18.3065 0.503315
30 3   199.957 -31.8124 0.404944
31 3   226.842 222.958 0.636137
32 3   -316.747 343.537 0.934551
33 3   18.7405 43.3991 0.0945451
34 3   -144.918 -273.769 0.619518
35 3   116.174 -102.849 0.310318
36 3   565.847 26.404 1.13293
37 3   -32.1835 51.9018 0.12214
38 3   -268.436 -45.9797 0.544692
39 3   4081.23 -1388.65 8.62202
40 3   -99.7871 -37.4732 0.213183
41 3   -716.062 107.785 1.44826
42 3   -99.9265 147.252 0.355913
43 3   -20.8048 -958.597 1.91765
44 3   164.259 343.765 0.761985
45 3   -190.774 -273.917 0.667609
46 3   77.5615 -166.75 0.367812
47 3   122.116 117.659 0.339151
48 3   12.0856 -77.353 0.156583
49 3   192.258 16.0525 0.385855
50 3   191.919 -370.537 0.834579
1 4   555.04 -74.0753 1.11992
2 4   -152.561 -218.369 0.532766
3 4   -203.232 12.4908 0.407232
4 4   139.445 727.131 1.48076
5 4   1047.7 4738.58 9.70604
6 4   -99.3147 -141.332 0.345474
7 4   450.786 492.692 1.33559
8 4   164.414 139.707 0.431508
9 4   -40.3198 300.378 0.606144
10 4   134.321 -33.0443 0.276651
11 4   -85.2734 85.6571 0.241733
12 4   -132.041 175.72 0.439601
13 4   -298.112 11.8375 0.596694
14 4   336.886 436.311 1.10247
15 4   -134.392 -99.0271 0.333872
16 4   163.317 12.6336 0.327609
17 4   6508.1 5058.03 16.485
18 4   -594.491 466.784 1.5117
19 4   -69.214 -54.8482 0.176623
20 4   250.874 40.7813 0.508334
21 4   -227.646 279.971 0.721682
22 4   227.171 -177.422 0.57649
23 4   -327.744 -2295.98 4.63851
24 4   188.237 283.107 0.67995
25 4   -477.709 -240.863 1.06999
26 4   33.2141 102.444 0.215388
27 4   469.675 -123.772 0.97142
28 4   -18.6069 -31.5544 0.0732637
29 4   21.4403 -49.7438 0.108335
30 4   74.9229 170.775 0.372974
31 4   243.988 -108.588 0.534122
32 4   -99.5152 -51.1122 0.223747
33 4   397.862 -167.149 0.863095
34 4   58.0754 -142.835 0.30838
35 4   20.108 12.2212 0.0470612
36 4   -26.0101 -211.686 0.426557
37 4   2898.48 3117.92 8.51414
38 4   -43.4757 -115.469 0.246765
39 4   -509.543 -1296.88 2.78678
40 4   95.2692 256.293 0.546855
41 4   342.421 -169.426 0.764088
42 4   128.018 443.631 0.923465
43 4   42.7569 11.5163 0.0885613
44 4   -234.31 -417.785 0.958009
45 4   21.0066 11.2006 0.0476122
46 4   60.654 -134.516 0.295116
47 4   873.14 1425.79 3.3438
48 4   -136.718 89.2117 0.3265
49 4   -534.618 86.0531 1.083
50 4   378.745 329.393 1.00389
1 5   -30.1471 51.5933 0.119511
2 5   -53.3115 -133.51 0.287521
3 5   289.237 -212.597 0.717929
4 5   -130.892 231.418 0.531741
5 5   -219.241 64.4275 0.457023
6 5   -49.5785 9.24911 0.100868
7 5   -708.554 -783.663 2.11298
8 5   -225.53 604.891 1.29113
9 5   -441.895 102.587 0.907293
10 5   527.668 -691.532 1.73971
11 5   348.906 233.969 0.840183
12 5   322.617 334.906 0.93004
13 5   204.035 -300.667 0.726721
14 5   132.469 -778.255 1.5789
15 5   -336.329 -626.711 1.42251
16 5   -101.811 -44.5988 0.222302
17 5   -25.0664 390.903 0.783413
18 5   -17.5248 -145.331 0.292768
19 5   86.4926 -115.849 0.28915
20 5   -115.947 12.1807 0.233171
21 5   279.448 61.711 0.572362
22 5   203.696 288.502 0.70633
23 5   -318.103 196.121 0.747404
24 5   -180.404 730.956 1.50578
25 5   32.614 -55.4992 0.128745
26 5   -146.991 -63.2094 0.320011
27 5   458.841 491.286 1.34446
28 5   -672.381 -2006.85 4.23298
29 5   168.769 -341.345 0.761575
30 5   -129.682 118.026 0.350699
31 5   231.19 219.68 0.637833
32 5   -6.83044 143.278 0.286881
33 5   -114.919 -130.318 0.347501
34 5   -15.3582 174.367 0.350083
35 5   15.8762 14.7647 0.0433614
36 5   -84.7586 -354.992 0.729941
37 5   -27.504 -4.63357 0.0557831
38 5   268.667 387.827 0.943593
39 5   210.805 -395.801 0.896877
40 5   90.957 -45.5968 0.203492
41 5   -224.446 9.22422 0.449271
42 5   -145.708 199.917 0.494763
43 5   -26.2442 174.7 0.35332
44 5   136.652 -193.209 0.473301
45 5   -204.43 -86.7399 0.444142
46 5   253.11 -112.814 0.554226
47 5   -67.5088 -169.89 0.365623
48 5   99.7314 -176.669 0.40575
49 5   -54.0772 -360.149 0.728372
50 5   -48.0831 618.187 1.24011
