1 1   71.1121 -22.8422 0.149381
2 1   -237.092 -3503.65 7.02333
3 1   6.38718 11.8627 0.0269458
4 1   -50.2844 -187.262 0.387791
5 1   -276.816 207.677 0.692117
6 1   -512.253 229.522 1.12265
7 1   -54.4899 270.716 0.552292
8 1   -178.494 -127.106 0.438251
9 1   2923.41 5455.01 12.378
10 1   -328.344 -258.418 0.835679
11 1   -95.9568 -355.488 0.736423
12 1   -331.332 0.266534 0.662664
13 1   68.5518 134.005 0.301044
14 1   331.875 -243.206 0.822897
15 1   758.12 199.087 1.56765
16 1   -63.7858 -188.766 0.398504
17 1   -4736.74 2313.39 10.543
18 1   59.4663 -95.684 0.225315
19 1   -239.86 -9.42989 0.48009
20 1   26.1682 -296.074 0.594457
21 1   411.744 -119.132 0.857264
22 1   -42.8268 7.05735 0.0868088
23 1   -303.148 -266.293 0.806996
24 1   55.1135 100.852 0.229857
25 1   332.796 -157.554 0.736415
26 1   108.393 59.6716 0.247465
27 1   -258.755 -228.187 0.689996
28 1   50.1525 228.527 0.467931
29 1   -105.607 45.1724 0.229725
30 1   -317.397 161.761 0.712481
31 1   75.8527 -256.003 0.534009
32 1   -10.7862 -132.869 0.266612
33 1   -188.375 -327.271 0.755226
34 1   280.902 -72.9136 0.580421
35 1   -37.7896 -54.3214 0.132346
36 1   95.8381 -299.032 0.62803
37 1   -443.561 -42.3717 0.89116
38 1   -84.3238 -40.2257 0.186854
39 1   -197.235 -272.891 0.673413
40 1   150.656 -524.952 1.09229
41 1   -102.918 29.3405 0.214037
42 1   -54.5323 -111.439 0.248133
43 1   -23.3212 81.9907 0.170486
44 1   -137 -88.1498 0.325818
45 1   368.265 -36.2832 0.740095
46 1   245.334 314.977 0.798498
47 1   256.447 -238.423 0.700316
48 1   -3.11832 94.2241 0.188551
49 1   -53.9668 105.884 0.237688
50 1   168.743 -204.605 0.530424
1 2   413.939 -383.138 1.12808
2 2   49.3279 12.6725 0.101859
3 2   -180.188 -373.036 0.828549
4 2   -5.96702 90.1937 0.180782
5 2   -89.2038 -132.154 0.318886
6 2   16.571 260.156 0.521366
7 2   73.6333 -215.758 0.455954
8 2   166.059 -155.231 0.45463
9 2   -242.935 51.6369 0.496724
10 2   285.412 165.455 0.659804
11 2   -137.798 -297.19 0.655165
12 2   2.48861 13.6985 0.0278453
13 2   138.503 150.367 0.408869
14 2   -229.18 190.053 0.595461
15 2   241.15 -175.259 0.596219
16 2   259.686 -239.783 0.706917
17 2   106.936 -201.474 0.45619
18 2   -122.514 -49.6247 0.264366
19 2   183.644 130.721 0.450835
20 2   -6130.52 6225.67 17.4748
21 2   -80.6941 17.3011 0.165056
22 2   -192.265 -131.101 0.465418
23 2   51.5223 201.204 0.415392
24 2   -208.085 113.388 0.473946
25 2   62.7515 263.584 0.541902
26 2   -365.565 83.2619 0.749855
27 2   -71.1604 5.58546 0.142759
28 2   259.282 -2942.44 5.90768
29 2   105.991 160.543 0.384749
30 2   -192.284 -168.739 0.511647
31 2   -260.555 -421.094 0.990372
32 2   206.994 143.755 0.504032
33 2   -115.758 -139.048 0.361851
34 2   -158.441 105.819 0.381058
35 2   193.447 -52.7291 0.401009
36 2   332.531 -88.4067 0.688164
37 2   264.653 -148.075 0.606522
38 2   69.8355 -2.60348 0.139768
39 2   66.9313 -141.98 0.31393
40 2   -303.641 48.0874 0.61485
41 2   -57.4749 -173.993 0.36648
42 2   235.6 -56.8459 0.484723
43 2   127.522 -1.49061 0.255061
44 2   -190.408 -352.988 0.802137
45 2   -42.4876 165.966 0.342636
46 2   -580.468 18.5912 1.16153
47 2   31.4522 -210.289 0.425256
48 2   -57.4159 714.148 1.43291
49 2   204.975 608.886 1.28492
50 2   -37.9676 44.275 0.11665
1 3   20.09 -206.816 0.415579
2 3   -17.7249 -0.00334208 0.0354498
3 3   56.4893 281.685 0.574586
4 3   1729.37 1702.71 4.85384
5 3   93.0339 486.747 0.991117
6 3   -328.223 -411.094 1.0521
7 3   -39.8528 31.64 0.101771
8 3   821.788 45.8565 1.64613
9 3   -6.29778 -37.2709 0.0755985
10 3   6.37612 -184.286 0.368792
11 3   67.7206 -217.373 0.455354
12 3   1.76156 -126.325 0.252674
13 3   51.6307 152.512 0.322029
14 3   1047.13 -557.678 2.37274
15 3   -356.777 -27.7016 0.715703
16 3   -142.792 -283.621 0.635076
