1 1   732.279 486.651 1.75848
2 1   -154.671 -14.053 0.310615
3 1   -308.078 -171.387 0.705084
4 1   329.273 520.185 1.23128
5 1   63.8844 106.466 0.248324
6 1   867.009 50.1936 1.73692
7 1   232.382 -84.1968 0.49433
8 1   113.849 -216.703 0.489579
9 1   -141.33 -135.312 0.391325
10 1   -169.153 94.4553 0.387476
11 1   -837.908 -329.992 1.80109
12 1   -92.6926 75.7658 0.239436
13 1   223.192 133.487 0.520129
14 1   -75.7437 -96.4248 0.245233
15 1   232.613 -48.7914 0.47535
16 1   -213.608 69.6768 0.449369
17 1   -149.65 -42.5629 0.31117
18 1   166.294 128.334 0.42011
19 1   291.539 137.318 0.644519
20 1   30.0097 26.8311 0.0805107
21 1   135.792 -65.2629 0.301322
22 1   30.8639 68.9476 0.151081
23 1   -53.2682 120.275 0.263086
24 1   -86.7884 -29.5686 0.183374
25 1   291.126 575.404 1.28972
26 1   34.0684 111.054 0.232325
27 1   -67.903 -222.72 0.465683
28 1   43.4739 25.61 0.100913
29 1   -47.8626 177.219 0.367137
30 1   389.186 55.0399 0.786117
31 1   -90.1712 138.642 0.330771
32 1   -133.364 -63.9298 0.295791
33 1   196.401 -478.287 1.03408
34 1   173.14 -17.3673 0.348018
35 1   191.95 503.743 1.07815
36 1   -247.535 -123.009 0.552828
37 1   -138.997 -102.813 0.345778
38 1   -50.0752 -179.599 0.3729
39 1   -162.47 -50.1373 0.340061
40 1   -142.035 -46.8536 0.299127
41 1   3.45992 -104.415 0.208946
42 1   -260.593 -91.2429 0.55221
43 1   -660.511 874.376 2.19163
44 1   -740.289 -291.841 1.59148
45 1   139.891 30.7069 0.286442
46 1   448.93 -219.03 0.999023
47 1   153.076 -44.809 0.318999
48 1   -114.028 185.251 0.435064
49 1   -35.5261 -979.906 1.9611
50 1   -78.1572 -147.762 0.334319
1 2   -14.0327 1267.9 2.53596
2 2   -206.184 287.137 0.706992
3 2   -448.801 -378.643 1.17438
4 2   -514.097 -64.4855 1.03625
5 2   642.393 -1012.3 2.39785
6 2   -110.61 -514.978 1.05345
7 2   -177.477 179.805 0.505284
8 2   1665.36 1631.12 4.66218
9 2   105.641 -236.868 0.518716
10 2   14.741 -186.687 0.374535
11 2   31.8108 1061.03 2.12301
12 2   -261.872 -1133.54 2.32679
13 2   85.9841 -92.7321 0.252923
14 2   -99.5949 -295.678 0.624001
15 2   49.1276 294.966 0.598059
16 2   375.1 167.321 0.821453
17 2   -57.9995 37.6362 0.138281
18 2   61847.2 -60754.5 173.392
19 2   320.383 188.646 0.743593
20 2   81.3925 -208.553 0.447746
21 2   1126.86 -338.974 2.35349
22 2   -161.674 -19.7131 0.325742
23 2   -195.543 95.3673 0.435119
24 2   -203.881 -190.267 0.557742
25 2   -406.738 -731.132 1.67331
26 2   302.066 218.541 0.745665
27 2   -26.5656 -87.8013 0.183464
28 2   -9.11412 40.4184 0.0828666
29 2   136.726 303.91 0.666499
30 2   -30.8182 3.86273 0.0621186
31 2   -8.11567 115.159 0.230888
32 2   -232.46 -39.2305 0.471494
33 2   120.532 498.125 1.025
34 2   316.869 -32.7369 0.637111
35 2   -36.7893 105.262 0.223012
36 2   -314.463 -91.5483 0.655036
37 2   -334.458 93.567 0.694599
38 2   -148.884 226.169 0.541549
39 2   0.84658 19.0268 0.0380912
40 2   1671.51 -1025.79 3.92233
41 2   23.1175 116.628 0.237794
42 2   -67.5512 13.0181 0.137588
43 2   -67.9678 75.7167 0.203496
44 2   -530.83 -452.124 1.39456
45 2   -184.858 -5.28186 0.369866
46 2   13.866 -12.0336 0.0367192
47 2   4.18617 -83.0761 0.166363
48 2   247.114 104.914 0.536926
49 2   -177.529 36.1118 0.36233
50 2   -20.3442 225.399 0.452631
