1 1   -21.4484 -133.495 0.270414
2 1   11.4814 -121.598 0.244277
3 1   -391.469 -230.776 0.908858
4 1   -157.809 -39.892 0.325546
5 1   -52.4207 406.536 0.819804
6 1   39.9673 -28.1871 0.0978141
7 1   82.7115 73.9925 0.221956
8 1   -239.727 -118.643 0.534958
9 1   -377.306 -42.3748 0.759355
10 1   164.535 -5.65619 0.329265
11 1   -433.114 650.72 1.56336
12 1   733.95 -9.10623 1.46801
13 1   187.876 -116.212 0.441827
14 1   -463.699 15.1928 0.927895
15 1   5.92977 57.3679 0.115347
16 1   -72.6622 -104.125 0.253943
17 1   -323.255 -302.952 0.886057
18 1   -121.31 -51.9255 0.263911
19 1   -217.557 -59.1362 0.450901
20 1   68.2461 -121.386 0.278511
21 1   -389.185 189.369 0.865623
22 1   -14.3106 180.154 0.361444
23 1   816.904 260.355 1.71478
24 1   -45.9415 63.206 0.156277
25 1   -63.211 8.53631 0.12757
26 1   91.7415 -165.474 0.378408
27 1   85.0258 0.800185 0.170059
28 1   -386.852 -373.98 1.07613
29 1   -232.057 1109.45 2.26691
30 1   -69.7092 -228.082 0.476993
31 1   333.29 -226.161 0.805558
32 1   -95.5713 -70.7517 0.237821
33 1   42.5332 -123.911 0.262016
34 1   -180.651 -0.209048 0.361302
35 1   -222.047 -188.105 0.582025
36 1   -88.3753 -93.7006 0.257604
37 1   -255.125 124.057 0.567376
38 1   -80.1298 369.727 0.75662
39 1   1934.73 692.649 4.10996
40 1   -104.378 -4.36559 0.208938
41 1   -443.053 -27.19 0.887773
42 1   395.13 -266.948 0.953706
43 1   280.225 -34.0871 0.564582
44 1   133.896 -204.941 0.489608
45 1   -185.52 -71.7175 0.397799
46 1   17.0401 -12.0201 0.041706
47 1   31.3492 432.091 0.866453
48 1   -12.6768 42.1635 0.0880559
49 1   255.339 -54.3875 0.522134
50 1   78.4627 -125.812 0.296546
1 2   174.775 -50.3269 0.363754
2 2   4.31319 78.8684 0.157973
3 2   -184.18 130.008 0.450884
4 2   -1580.35 683.499 3.44365
5 2   -220.447 -250.415 0.667246
6 2   109.071 11.055 0.21926
7 2   125.248 -170.762 0.42354
8 2   -368.029 336.706 0.997628
9 2   12478.8 -11609.8 34.0886
10 2   242.33 -12.8344 0.485339
11 2   147.413 -65.6336 0.322727
12 2   295.368 277.817 0.810987
13 2   -35.3194 57.233 0.134508
14 2   -716.649 141.131 1.46083
15 2   147.497 -401.525 0.855518
16 2   -170.81 17.7089 0.343451
17 2   -196.014 -124.369 0.464281
18 2   -194.896 -378.933 0.852232
19 2   27.6006 140.074 0.285534
20 2   342.465 213.112 0.80672
21 2   276.91 0.127635 0.55382
22 2   105.486 -127.187 0.330479
23 2   209.28 -19.7668 0.420423
24 2   -241.022 -21.9483 0.484039
25 2   145.464 -59.1379 0.314052
26 2   -134.05 -3.75477 0.268205
27 2   -151.594 37.7189 0.312432
28 2   -127.082 282.761 0.620012
29 2   84.8292 210.221 0.453382
30 2   53.3287 -51.7191 0.148577
31 2   -327.73 18.7907 0.656537
32 2   392.531 -86.2357 0.803783
33 2   -88.2114 -296.92 0.619493
34 2   93.0533 -223.356 0.48393
35 2   -276.237 -162.359 0.640835
36 2   -220.244 -243.489 0.656641
37 2   162.927 95.0763 0.377278
38 2   -12.9206 157.472 0.316003
39 2   -127.273 -111.85 0.338874
40 2   154.545 146.139 0.425398
41 2   4.48838 -404.925 0.8099
42 2   -404.265 41.9582 0.812874
43 2   -190.839 322.276 0.749083
44 2   10854.7 4338.91 23.3795
45 2   145.732 -176.006 0.457015
46 2   34.326 -9.96485 0.0714863
47 2   -77.6225 114.591 0.276812
48 2   -49.3037 -90.7629 0.206579
49 2   1452.4 -591.67 3.13659
50 2   807.059 400.309 1.80177
1 3   990.758 742.093 2.47573
2 3   149.017 149.634 0.422357
3 3   -64.9993 24.761 0.139112
4 3   26.405 35.3174 0.088194
5 3   69.8112 -272.522 0.562643
6 3   -178.32 -649.268 1.34662
7 3   116.665 52.8333 0.25614
8 3   705.109 -177.612 1.45427
9 3   -194.897 149.356 0.491089
10 3   282.018 -85.5495 0.589417
11 3   29.9208 654.676 1.31072
12 3   3.26687 -39.1133 0.078499
13 3   -193.918 -583.693 1.23012
14 3   681.878 -90.1544 1.37562
