1 1   8.8965e-005 -0.000127563
2 1   0.000184659 6.45953e-005
3 1   2.41877e-005 4.00629e-005
4 1   -5.44136e-005 1.06137e-005
5 1   -4.23615e-005 -1.74145e-005
6 1   -4.91458e-005 2.13624e-005
7 1   -0.000108761 1.56139e-005
8 1   -0.00017118 2.58897e-005
9 1   -0.000195278 -8.75545e-006
10 1   -0.00021352 1.88373e-005
11 1   -0.000291198 3.09948e-005
12 1   -0.000376347 2.68993e-005
13 1   -0.000400757 -1.08014e-005
14 1   -0.000446366 3.84596e-005
15 1   -0.00056496 4.02348e-005
16 1   -0.000645379 1.46279e-005
17 1   -0.000670412 3.40021e-007
18 1   -0.000766827 6.17805e-005
19 1   -0.000903454 3.03454e-005
20 1   -0.000958595 6.62325e-006
21 1   -0.00101044 2.53352e-005
22 1   -0.00115432 6.99476e-005
23 1   -0.00127143 9.56691e-006
24 1   -0.00131113 1.55689e-005
25 1   -0.00141184 4.93136e-005
26 1   -0.00157031 5.7236e-005
27 1   -0.00164797 -4.82638e-006
28 1   -0.00170214 3.85379e-005
29 1   -0.00184618 5.66267e-005
30 1   -0.00197946 3.38117e-005
31 1   -0.0020285 -1.9865e-006
32 1   -0.00212002 6.06947e-005
33 1   -0.00227532 4.36078e-005
34 1   -0.00236326 1.60435e-005
35 1   -0.00241243 1.46428e-005
36 1   -0.00253798 6.79866e-005
37 1   -0.00266761 2.01375e-005
38 1   -0.00271864 1.34907e-005
39 1   -0.00278996 3.1792e-005
40 1   -0.0029229 5.74488e-005
41 1   -0.00300778 5.4865e-007
42 1   -0.00304603 2.32028e-005
43 1   -0.00313914 3.76509e-005
44 1   -0.00324902 3.73705e-005
45 1   -0.00329407 -7.22147e-006
46 1   -0.00333832 3.45602e-005
47 1   -0.0034343 2.98787e-005
48 1   -0.00350495 1.89707e-005
49 1   -0.00352742 -5.32595e-006
50 1   -0.00357965 3.88092e-005
51 1   -0.00365705 1.45866e-005
52 1   -0.00368992 7.93784e-006
53 1   -0.00370321 -1.06876e-006
54 1   -0.00375303 3.45676e-005
55 1   -0.00380048 -8.88348e-007
56 1   -0.0038047 2.81654e-006
57 1   -0.00381186 5.42234e-007
58 1   -0.00384845 2.56368e-005
59 1   -0.00386466 -1.374e-005
60 1   -0.00384659 -7.88262e-008
61 1   -0.00384561 -4.54476e-007
62 1   -0.00386409 1.50553e-005
63 1   -0.00384971 -2.5057e-005
64 1   -0.00381199 -1.532e-006
65 1   -0.00380349 -2.41461e-006
66 1   -0.00380095 2.26367e-006
67 1   -0.0037542 -3.49341e-005
68 1   -0.00370243 3.79227e-007
69 1   -0.00368926 -6.69917e-006
70 1   -0.00365831 -1.38718e-005
71 1   -0.00358006 -3.97368e-005
72 1   -0.00352626 5.49849e-006
73 1   -0.00350533 -1.75109e-005
74 1   -0.00343564 -3.01423e-005
75 1   -0.00333777 -3.5307e-005
76 1   -0.00329334 8.26984e-006
77 1   -0.0032503 -3.64398e-005
78 1   -0.00313981 -3.86093e-005
79 1   -0.00304497 -2.31319e-005
80 1   -0.00300807 8.28276e-007
81 1   -0.00292442 -5.74639e-005
82 1   -0.00278964 -3.27329e-005
83 1   -0.00271789 -1.24718e-005
84 1   -0.00266891 -1.92033e-005
85 1   -0.00253893 -6.87659e-005
86 1   -0.00241149 -1.48681e-005
87 1   -0.00236351 -1.45424e-005
88 1   -0.00227701 -4.36325e-005
89 1   -0.00211998 -6.15575e-005
90 1   -0.00202776 2.7169e-006
91 1   -0.00198084 -3.26092e-005
92 1   -0.00184741 -5.75402e-005
93 1   -0.00170136 -3.87149e-005
94 1   -0.00164824 6.12098e-006
95 1   -0.00157226 -5.69432e-005
96 1   -0.00141205 -5.04758e-005
97 1   -0.00131048 -1.46855e-005
98 1   -0.00127299 -8.52274e-006
99 1   -0.00115592 -7.06008e-005
100 1   -0.00100982 -2.59e-005
101 1   -0.000959072 -4.96976e-006
102 1   -0.000905826 -3.03166e-005
103 1   -0.000767367 -6.27419e-005
104 1   -0.000669932 2.24988e-007
105 1   -0.000647517 -1.30581e-005
106 1   -0.000567096 -4.14544e-005
107 1   -0.000445968 -3.86709e-005
108 1   -0.000401818 1.23095e-005
109 1   -0.000379832 -2.64166e-005
110 1   -0.000292127 -3.28897e-005
111 1   -0.00021357 -1.72572e-005
112 1   -0.000199251 1.01384e-005
113 1   -0.00017487 -2.71285e-005
114 1   -0.000108608 -1.66734e-005
115 1   -5.32478e-005 -1.7166e-005
116 1   -5.07674e-005 1.64328e-005
117 1   -5.68767e-005 -1.33033e-005
118 1   2.07619e-005 -3.64649e-005
119 1   0.000162195 -5.51764e-005
120 1   7.03711e-005 0.000115881
1 2   -4.71007e-005 -0.000175526
2 2   2.90607e-005 -2.55783e-007
3 2   0.00012141 0.000173445
4 2   3.82659e-005 8.3875e-005
5 2   2.64313e-005 -3.89923e-005
6 2   2.48171e-005 7.83036e-005
7 2   -7.2869e-005 0.00011099
8 2   -0.00010415 5.67332e-005
9 2   -0.000106244 3.44418e-005
10 2   -0.000253535 0.000144125
11 2   -0.000389015 0.000120538
12 2   -0.000401633 8.48289e-005
13 2   -0.000532232 0.000115387
14 2   -0.000780659 0.000193468
15 2   -0.0008791 0.000128626
16 2   -0.000954652 0.000134599
17 2   -0.00123587 0.000186536
18 2   -0.00148089 0.000211571
19 2   -0.00155241 0.000139922
20 2   -0.00176484 0.000195877
21 2   -0.00212287 0.00022697
22 2   -0.00229457 0.000205701
23 2   -0.00241358 0.000166074
