1 1   0.00472997 -0.00496404 1.37134e-005
2 1   -0.0167092 -0.00821414 3.72381e-005
3 1   0.00140725 -0.00732354 1.4915e-005
4 1   -0.018361 -0.00661564 3.9033e-005
5 1   -0.00385945 -0.00656287 1.52272e-005
6 1   -0.0236339 -0.00631169 4.89243e-005
7 1   -0.0107779 -0.00610354 2.47722e-005
8 1   -0.0299601 -0.00562758 6.09681e-005
9 1   -0.0193697 -0.00566262 4.03609e-005
10 1   -0.0369453 -0.00511159 7.45945e-005
11 1   -0.0286986 -0.00511458 5.83017e-005
12 1   -0.0442526 -0.00450818 8.89633e-005
13 1   -0.038521 -0.00457907 7.75844e-005
14 1   -0.0514093 -0.00389487 0.000103113
15 1   -0.0483363 -0.00398274 9.70002e-005
16 1   -0.0581015 -0.00325233 0.000116385
17 1   -0.0577472 -0.0033627 0.00011569
18 1   -0.0639624 -0.00258052 0.000128029
19 1   -0.0663694 -0.00270422 0.000132849
20 1   -0.0687034 -0.0018871 0.000137459
21 1   -0.0738528 -0.00201794 0.000147761
22 1   -0.0720584 -0.00117395 0.000144136
23 1   -0.079899 -0.00130788 0.000159819
24 1   -0.0738174 -0.000449735 0.000147638
25 1   -0.0842619 -0.000581887 0.000168528
26 1   -0.0738257 0.000279055 0.000147652
27 1   -0.0867652 0.000152419 0.000173531
28 1   -0.0719968 0.00100475 0.000144008
29 1   -0.0873098 0.000887301 0.000174629
30 1   -0.0683204 0.00172092 0.000136684
31 1   -0.0858842 0.00161697 0.000171799
32 1   -0.0628728 0.00242159 0.000125839
33 1   -0.082569 0.00233447 0.000165204
34 1   -0.0558163 0.00310431 0.000111805
35 1   -0.0775457 0.00303848 0.00015521
36 1   -0.0474086 0.00376053 9.5115e-005
37 1   -0.0710734 0.00372234 0.000142342
38 1   -0.0379903 0.00440145 7.64889e-005
39 1   -0.0635303 0.00438394 0.000127363
40 1   -0.0279639 0.00499339 5.68125e-005
41 1   -0.0552937 0.00503582 0.000111045
42 1   -0.0178587 0.00559293 3.7428e-005
43 1   -0.0469032 0.00560545 9.44739e-005
44 1   -0.0080069 0.00608943 2.01188e-005
45 1   -0.0387832 0.0063065 7.85852e-005
46 1   0.000639342 0.00659348 1.32488e-005
47 1   -0.0314316 0.00663974 6.42505e-005
48 1   0.00805355 0.0073036 2.17442e-005
49 1   -0.0271074 0.00812873 5.66e-005
50 1   0.0137369 0.00523648 2.94023e-005
1 2   0.00154084 -0.00863849 1.75497e-005
2 2   -0.0276326 -0.0180348 6.59944e-005
3 2   -0.0170684 -0.0182267 4.99417e-005
4 2   -0.0424534 -0.0153939 9.03164e-005
5 2   -0.0347901 -0.0140083 7.50088e-005
6 2   -0.0620511 -0.0132568 0.000126903
7 2   -0.0575071 -0.0118543 0.000117432
