#k solution exact absolute_error relative_error
0 9.99 10  -0.01 -0.001
0.001 9.98001 9.98001  -4.99334e-006 -5.00333e-007
0.002 9.97003 9.96007  0.00996006 0.000999999
0.003 9.96006 9.94016  0.0198952 0.0020015
0.004 9.9501 9.9203  0.0298006 0.003004
0.005 9.94015 9.90047  0.0396762 0.00400751
0.006 9.93021 9.88069  0.0495222 0.00501202
0.007 9.92028 9.86094  0.0593385 0.00601753
0.008 9.91036 9.84123  0.0691254 0.00702405
0.009 9.90045 9.82157  0.0788827 0.00803158
0.01 9.89055 9.80194  0.0886107 0.00904012
0.011 9.88066 9.78235  0.0983093 0.0100497
0.012 9.87078 9.7628  0.107979 0.0110602
0.013 9.86091 9.74329  0.117619 0.0120718
0.014 9.85105 9.72382  0.12723 0.0130844
0.015 9.84119 9.70438  0.136812 0.014098
0.016 9.83135 9.68499  0.146365 0.0151126
0.017 9.82152 9.66563  0.155889 0.0161282
0.018 9.8117 9.64632  0.165384 0.0171448
0.019 9.80189 9.62704  0.174851 0.0181625
0.02 9.79209 9.6078  0.184289 0.0191811
0.021 9.78229 9.5886  0.193698 0.0202008
0.022 9.77251 9.56943  0.203078 0.0212215
0.023 9.76274 9.55031  0.21243 0.0222433
0.024 9.75298 9.53122  0.221754 0.023266
0.025 9.74322 9.51218  0.231049 0.0242898
0.026 9.73348 9.49317  0.240316 0.0253146
0.027 9.72375 9.47419  0.249554 0.0263404
0.028 9.71402 9.45526  0.258765 0.0273673
0.029 9.70431 9.43636  0.267947 0.0283952
0.03 9.69461 9.4175  0.277101 0.0294241
0.031 9.68491 9.39868  0.286228 0.030454
0.032 9.67523 9.3799  0.295326 0.031485
0.033 9.66555 9.36115  0.304397 0.032517
0.034 9.65589 9.34245  0.313439 0.03355
0.035 9.64623 9.32377  0.322454 0.0345841
0.036 9.63658 9.30514  0.331442 0.0356192
0.037 9.62695 9.28655  0.340401 0.0366553
0.038 9.61732 9.26799  0.349334 0.0376925
0.039 9.6077 9.24946  0.358238 0.0387307
0.04 9.59809 9.23098  0.367116 0.03977
0.041 9.5885 9.21253  0.375966 0.0408103
0.042 9.57891 9.19412  0.384788 0.0418516
0.043 9.56933 9.17574  0.393584 0.042894
0.044 9.55976 9.15741  0.402352 0.0439374
0.045 9.5502 9.13911  0.411094 0.0449818
0.046 9.54065 9.12084  0.419808 0.0460273
0.047 9.53111 9.10261  0.428495 0.0470739
0.048 9.52158 9.08442  0.437156 0.0481215
0.049 9.51206 9.06627  0.44579 0.0491701
0.05 9.50254 9.04815  0.454396 0.0502198
0.051 9.49304 9.03007  0.462977 0.0512706
0.052 9.48355 9.01202  0.47153 0.0523224
0.053 9.47407 8.99401  0.480057 0.0533752
0.054 9.46459 8.97603  0.488558 0.0544291
0.055 9.45513 8.95809  0.497032 0.0554841
0.056 9.44567 8.94019  0.505479 0.0565401
0.057 9.43623 8.92233  0.513901 0.0575972
0.058 9.42679 8.90449  0.522296 0.0586553
0.059 9.41736 8.8867  0.530664 0.0597145
0.06 9.40795 8.86894  0.539007 0.0607747
0.061 9.39854 8.85121  0.547324 0.061836
0.062 9.38914 8.83352  0.555614 0.0628984
0.063 9.37975 8.81587  0.563879 0.0639618
0.064 9.37037 8.79825  0.572118 0.0650263
0.065 9.361 8.78067  0.580331 0.0660919
0.066 9.35164 8.76312  0.588518 0.0671585
0.067 9.34229 8.74561  0.596679 0.0682262
0.068 9.33294 8.72813  0.604815 0.0692949
0.069 9.32361 8.71069  0.612925 0.0703648
